strategy,scenario,municipalities,capacity_margin
Spectrum Integration,Scenario 2 (100 Mbps),Dalfsen,-12325.75487
Hybrid,Scenario 3 (300 Mbps),Dalfsen,162442.0306
Small Cells,Scenario 3 (300 Mbps),Dalfsen,161080.399
Spectrum Integration,Scenario 3 (300 Mbps),Dalfsen,-48365.24927
Hybrid,Scenario 1 (30 Mbps),Dantumadiel,-1780.2342
Small Cells,Scenario 1 (30 Mbps),Dantumadiel,-2245.07052
Spectrum Integration,Scenario 1 (30 Mbps),Dantumadiel,-1780.2342
Hybrid,Scenario 2 (100 Mbps),Dantumadiel,-10006.82208
Small Cells,Scenario 2 (100 Mbps),Dantumadiel,-10471.6584
Spectrum Integration,Scenario 2 (100 Mbps),Dantumadiel,-10006.82208
Hybrid,Scenario 3 (300 Mbps),Dantumadiel,-33511.35888
Small Cells,Scenario 3 (300 Mbps),Dantumadiel,-33976.1952
Spectrum Integration,Scenario 3 (300 Mbps),Dantumadiel,-33511.35888
Hybrid,Scenario 1 (30 Mbps),De Bilt,37158.85933
Small Cells,Scenario 1 (30 Mbps),De Bilt,36007.02926
Spectrum Integration,Scenario 1 (30 Mbps),De Bilt,-4380.580812
Hybrid,Scenario 2 (100 Mbps),De Bilt,59236.03522
Small Cells,Scenario 2 (100 Mbps),De Bilt,58432.26269
Spectrum Integration,Scenario 2 (100 Mbps),De Bilt,-26054.78372
Hybrid,Scenario 3 (300 Mbps),De Bilt,39911.97819
Small Cells,Scenario 3 (300 Mbps),De Bilt,39513.50739
Spectrum Integration,Scenario 3 (300 Mbps),De Bilt,-88830.06452
Hybrid,Scenario 1 (30 Mbps),De Fryske Marren,-5075.9805
Small Cells,Scenario 1 (30 Mbps),De Fryske Marren,-6680.2767
Spectrum Integration,Scenario 1 (30 Mbps),De Fryske Marren,-5075.9805
Hybrid,Scenario 2 (100 Mbps),De Fryske Marren,-30973.97724
Small Cells,Scenario 2 (100 Mbps),De Fryske Marren,-32578.27344
Spectrum Integration,Scenario 2 (100 Mbps),De Fryske Marren,-30973.97724
Hybrid,Scenario 3 (300 Mbps),De Fryske Marren,-104968.2536
Small Cells,Scenario 3 (300 Mbps),De Fryske Marren,-106572.5498
Spectrum Integration,Scenario 3 (300 Mbps),De Fryske Marren,-104968.2536
Hybrid,Scenario 1 (30 Mbps),"De Fryske Marren,Heerenveen",-2.48556
Small Cells,Scenario 1 (30 Mbps),"De Fryske Marren,Heerenveen",-6.37308
Spectrum Integration,Scenario 1 (30 Mbps),"De Fryske Marren,Heerenveen",-2.48556
Hybrid,Scenario 2 (100 Mbps),"De Fryske Marren,Heerenveen",-42.34608
Small Cells,Scenario 2 (100 Mbps),"De Fryske Marren,Heerenveen",-46.2336
Spectrum Integration,Scenario 2 (100 Mbps),"De Fryske Marren,Heerenveen",-42.34608
Hybrid,Scenario 3 (300 Mbps),"De Fryske Marren,Heerenveen",-156.23328
Small Cells,Scenario 3 (300 Mbps),"De Fryske Marren,Heerenveen",-160.1208
Spectrum Integration,Scenario 3 (300 Mbps),"De Fryske Marren,Heerenveen",-156.23328
Hybrid,Scenario 1 (30 Mbps),De Marne,-810.35436
Small Cells,Scenario 1 (30 Mbps),De Marne,-1311.98328
Spectrum Integration,Scenario 1 (30 Mbps),De Marne,-810.35436
Hybrid,Scenario 2 (100 Mbps),De Marne,-7096.25118
Small Cells,Scenario 2 (100 Mbps),De Marne,-7597.8801
Spectrum Integration,Scenario 2 (100 Mbps),De Marne,-7096.25118
Hybrid,Scenario 3 (300 Mbps),De Marne,-25055.95638
Small Cells,Scenario 3 (300 Mbps),De Marne,-25557.5853
Spectrum Integration,Scenario 3 (300 Mbps),De Marne,-25055.95638
Hybrid,Scenario 1 (30 Mbps),De Ronde Venen,101839.4834
Small Cells,Scenario 1 (30 Mbps),De Ronde Venen,100823.284
Spectrum Integration,Scenario 1 (30 Mbps),De Ronde Venen,-4038.342477
Hybrid,Scenario 2 (100 Mbps),De Ronde Venen,115449.2703
Small Cells,Scenario 2 (100 Mbps),De Ronde Venen,114286.7317
Spectrum Integration,Scenario 2 (100 Mbps),De Ronde Venen,-23435.28315
Hybrid,Scenario 3 (300 Mbps),De Ronde Venen,79611.79912
Small Cells,Scenario 3 (300 Mbps),De Ronde Venen,78893.27089
Spectrum Integration,Scenario 3 (300 Mbps),De Ronde Venen,-79523.56875
Hybrid,Scenario 1 (30 Mbps),De Wolden,-705.91131
Small Cells,Scenario 1 (30 Mbps),De Wolden,-1385.04717
Spectrum Integration,Scenario 1 (30 Mbps),De Wolden,-705.91131
Hybrid,Scenario 2 (100 Mbps),De Wolden,-8303.35179
Small Cells,Scenario 2 (100 Mbps),De Wolden,-8982.48765
Spectrum Integration,Scenario 2 (100 Mbps),De Wolden,-8303.35179
Hybrid,Scenario 3 (300 Mbps),De Wolden,-30010.32459
Small Cells,Scenario 3 (300 Mbps),De Wolden,-30689.46045
Spectrum Integration,Scenario 3 (300 Mbps),De Wolden,-30010.32459
Hybrid,Scenario 1 (30 Mbps),Delft,9560.230567
Small Cells,Scenario 1 (30 Mbps),Delft,7972.598293
Spectrum Integration,Scenario 1 (30 Mbps),Delft,-10254.55985
Hybrid,Scenario 2 (100 Mbps),Delft,8923.631101
Small Cells,Scenario 2 (100 Mbps),Delft,8826.859621
Spectrum Integration,Scenario 2 (100 Mbps),Delft,-56909.76972
Hybrid,Scenario 3 (300 Mbps),Delft,7192.949784
Small Cells,Scenario 3 (300 Mbps),Delft,7134.886896
Spectrum Integration,Scenario 3 (300 Mbps),Delft,-190376.2633
Hybrid,Scenario 1 (30 Mbps),Delfzijl,-1823.63568
Small Cells,Scenario 1 (30 Mbps),Delfzijl,-2344.56336
Spectrum Integration,Scenario 1 (30 Mbps),Delfzijl,-1823.63568
Hybrid,Scenario 2 (100 Mbps),Delfzijl,-10642.94352
Small Cells,Scenario 2 (100 Mbps),Delfzijl,-11163.8712
Spectrum Integration,Scenario 2 (100 Mbps),Delfzijl,-10642.94352
Hybrid,Scenario 3 (300 Mbps),Delfzijl,-35840.96592
Small Cells,Scenario 3 (300 Mbps),Delfzijl,-36361.8936
Spectrum Integration,Scenario 3 (300 Mbps),Delfzijl,-35840.96592
Hybrid,Scenario 1 (30 Mbps),"Delfzijl,Eemsmond",-14.73582
Small Cells,Scenario 1 (30 Mbps),"Delfzijl,Eemsmond",-37.78326
Spectrum Integration,Scenario 1 (30 Mbps),"Delfzijl,Eemsmond",-14.73582
Hybrid,Scenario 2 (100 Mbps),"Delfzijl,Eemsmond",-251.05176
Small Cells,Scenario 2 (100 Mbps),"Delfzijl,Eemsmond",-274.0992
Spectrum Integration,Scenario 2 (100 Mbps),"Delfzijl,Eemsmond",-251.05176
Hybrid,Scenario 3 (300 Mbps),"Delfzijl,Eemsmond",-926.24016
Small Cells,Scenario 3 (300 Mbps),"Delfzijl,Eemsmond",-949.2876
Spectrum Integration,Scenario 3 (300 Mbps),"Delfzijl,Eemsmond",-926.24016
Hybrid,Scenario 1 (30 Mbps),Den Helder,-6115.65051
Small Cells,Scenario 1 (30 Mbps),Den Helder,-7171.00869
Spectrum Integration,Scenario 1 (30 Mbps),Den Helder,-6115.65051
Hybrid,Scenario 2 (100 Mbps),Den Helder,-29603.06607
Small Cells,Scenario 2 (100 Mbps),Den Helder,-30658.42425
Spectrum Integration,Scenario 2 (100 Mbps),Den Helder,-29603.06607
Hybrid,Scenario 3 (300 Mbps),Den Helder,-96709.96767
Small Cells,Scenario 3 (300 Mbps),Den Helder,-97765.32585
Spectrum Integration,Scenario 3 (300 Mbps),Den Helder,-96709.96767
Hybrid,Scenario 1 (30 Mbps),Deurne,42397.11684
Small Cells,Scenario 1 (30 Mbps),Deurne,41655.75926
Spectrum Integration,Scenario 1 (30 Mbps),Deurne,-2007.112275
Hybrid,Scenario 2 (100 Mbps),Deurne,103780.3833
Small Cells,Scenario 2 (100 Mbps),Deurne,102966.2221
Spectrum Integration,Scenario 2 (100 Mbps),Deurne,-15829.34511
Hybrid,Scenario 3 (300 Mbps),Deurne,82837.65214
Small Cells,Scenario 3 (300 Mbps),Deurne,82023.49091
Spectrum Integration,Scenario 3 (300 Mbps),Deurne,-56826.68271
Hybrid,Scenario 1 (30 Mbps),"Deurne,Helmond",115.57296
Small Cells,Scenario 1 (30 Mbps),"Deurne,Helmond",115.57296
Spectrum Integration,Scenario 1 (30 Mbps),"Deurne,Helmond",115.57296
Hybrid,Scenario 2 (100 Mbps),"Deurne,Helmond",21750.14683
Small Cells,Scenario 2 (100 Mbps),"Deurne,Helmond",21591.32776
Spectrum Integration,Scenario 2 (100 Mbps),"Deurne,Helmond",-451.967724
Hybrid,Scenario 3 (300 Mbps),"Deurne,Helmond",19674.83323
Small Cells,Scenario 3 (300 Mbps),"Deurne,Helmond",19516.01416
Spectrum Integration,Scenario 3 (300 Mbps),"Deurne,Helmond",-2527.281324
Hybrid,Scenario 1 (30 Mbps),Deventer,98789.41904
Small Cells,Scenario 1 (30 Mbps),Deventer,96515.07176
Spectrum Integration,Scenario 1 (30 Mbps),Deventer,-8282.068908
Hybrid,Scenario 2 (100 Mbps),Deventer,126121.3138
Small Cells,Scenario 2 (100 Mbps),Deventer,125142.2141
Spectrum Integration,Scenario 2 (100 Mbps),Deventer,-51126.77023
Hybrid,Scenario 3 (300 Mbps),Deventer,96839.25552
Small Cells,Scenario 3 (300 Mbps),Deventer,95983.11255
Spectrum Integration,Scenario 3 (300 Mbps),Deventer,-174628.2718
Hybrid,Scenario 1 (30 Mbps),Diemen,11097.54838
Small Cells,Scenario 1 (30 Mbps),Diemen,10438.65206
Spectrum Integration,Scenario 1 (30 Mbps),Diemen,-2271.466836
Hybrid,Scenario 2 (100 Mbps),Diemen,2687.196016
Small Cells,Scenario 2 (100 Mbps),Diemen,2580.178144
Spectrum Integration,Scenario 2 (100 Mbps),Diemen,-13220.3326
Hybrid,Scenario 3 (300 Mbps),Diemen,5.36E-12
Small Cells,Scenario 3 (300 Mbps),Diemen,0
Spectrum Integration,Scenario 3 (300 Mbps),Diemen,-44502.8062
Hybrid,Scenario 1 (30 Mbps),Dinkelland,39260.9461
Small Cells,Scenario 1 (30 Mbps),Dinkelland,38962.80456
Spectrum Integration,Scenario 1 (30 Mbps),Dinkelland,-249.268515
Hybrid,Scenario 2 (100 Mbps),Dinkelland,199681.7328
Small Cells,Scenario 2 (100 Mbps),Dinkelland,198167.6861
Spectrum Integration,Scenario 2 (100 Mbps),Dinkelland,-9805.960971
Hybrid,Scenario 3 (300 Mbps),Dinkelland,172263.0111
Small Cells,Scenario 3 (300 Mbps),Dinkelland,170840.0434
Spectrum Integration,Scenario 3 (300 Mbps),Dinkelland,-40584.81137
Hybrid,Scenario 1 (30 Mbps),Doesburg,4804.208355
Small Cells,Scenario 1 (30 Mbps),Doesburg,4507.193271
Spectrum Integration,Scenario 1 (30 Mbps),Doesburg,-925.369596
Hybrid,Scenario 2 (100 Mbps),Doesburg,8926.218608
Small Cells,Scenario 2 (100 Mbps),Doesburg,8833.147214
Spectrum Integration,Scenario 2 (100 Mbps),Doesburg,-5940.787842
Hybrid,Scenario 3 (300 Mbps),Doesburg,7298.728458
Small Cells,Scenario 3 (300 Mbps),Doesburg,7239.811704
Spectrum Integration,Scenario 3 (300 Mbps),Doesburg,-20438.88784
Hybrid,Scenario 1 (30 Mbps),Doetinchem,63719.20135
Small Cells,Scenario 1 (30 Mbps),Doetinchem,62402.04538
Spectrum Integration,Scenario 1 (30 Mbps),Doetinchem,-4677.63543
Hybrid,Scenario 2 (100 Mbps),Doetinchem,71551.3677
Small Cells,Scenario 2 (100 Mbps),Doetinchem,70754.14148
Spectrum Integration,Scenario 2 (100 Mbps),Doetinchem,-27978.37635
Hybrid,Scenario 3 (300 Mbps),Doetinchem,47245.73225
Small Cells,Scenario 3 (300 Mbps),Doetinchem,46742.23594
Spectrum Integration,Scenario 3 (300 Mbps),Doetinchem,-95137.42995
Hybrid,Scenario 1 (30 Mbps),"Doetinchem,Montferland",22.36896
Small Cells,Scenario 1 (30 Mbps),"Doetinchem,Montferland",22.36896
Spectrum Integration,Scenario 1 (30 Mbps),"Doetinchem,Montferland",22.36896
Hybrid,Scenario 2 (100 Mbps),"Doetinchem,Montferland",4209.705839
Small Cells,Scenario 2 (100 Mbps),"Doetinchem,Montferland",4178.966663
Spectrum Integration,Scenario 2 (100 Mbps),"Doetinchem,Montferland",-87.477624
Hybrid,Scenario 3 (300 Mbps),"Doetinchem,Montferland",3808.032239
Small Cells,Scenario 3 (300 Mbps),"Doetinchem,Montferland",3777.293063
Spectrum Integration,Scenario 3 (300 Mbps),"Doetinchem,Montferland",-489.151224
Hybrid,Scenario 1 (30 Mbps),Dongen,15002.98382
Small Cells,Scenario 1 (30 Mbps),Dongen,14396.4066
Spectrum Integration,Scenario 1 (30 Mbps),Dongen,-1947.017616
Hybrid,Scenario 2 (100 Mbps),Dongen,25275.73507
Small Cells,Scenario 2 (100 Mbps),Dongen,25010.46737
Spectrum Integration,Scenario 2 (100 Mbps),Dongen,-12411.33262
Hybrid,Scenario 3 (300 Mbps),Dongen,18701.56519
Small Cells,Scenario 3 (300 Mbps),Dongen,18506.88374
Spectrum Integration,Scenario 3 (300 Mbps),Dongen,-42699.71422
Hybrid,Scenario 1 (30 Mbps),Dongeradeel,-1872.75147
Small Cells,Scenario 1 (30 Mbps),Dongeradeel,-2564.17053
Spectrum Integration,Scenario 1 (30 Mbps),Dongeradeel,-1872.75147
Hybrid,Scenario 2 (100 Mbps),Dongeradeel,-12295.70919
Small Cells,Scenario 2 (100 Mbps),Dongeradeel,-12987.12825
Spectrum Integration,Scenario 2 (100 Mbps),Dongeradeel,-12295.70919
Hybrid,Scenario 3 (300 Mbps),Dongeradeel,-42075.58839
Small Cells,Scenario 3 (300 Mbps),Dongeradeel,-42767.00745
Spectrum Integration,Scenario 3 (300 Mbps),Dongeradeel,-42075.58839
Hybrid,Scenario 1 (30 Mbps),Dordrecht,47010.37235
Small Cells,Scenario 1 (30 Mbps),Dordrecht,44123.61979
Spectrum Integration,Scenario 1 (30 Mbps),Dordrecht,-9330.477501
Hybrid,Scenario 2 (100 Mbps),Dordrecht,78500.91098
Small Cells,Scenario 2 (100 Mbps),Dordrecht,77943.19417
Spectrum Integration,Scenario 2 (100 Mbps),Dordrecht,-57867.02931
Hybrid,Scenario 3 (300 Mbps),Dordrecht,65708.96858
Small Cells,Scenario 3 (300 Mbps),Dordrecht,65151.25177
Spectrum Integration,Scenario 3 (300 Mbps),Dordrecht,-197638.2797
Hybrid,Scenario 1 (30 Mbps),Drechterland,-1948.01019
Small Cells,Scenario 1 (30 Mbps),Drechterland,-2310.03549
Spectrum Integration,Scenario 1 (30 Mbps),Drechterland,-1948.01019
Hybrid,Scenario 2 (100 Mbps),Drechterland,-9665.28675
Small Cells,Scenario 2 (100 Mbps),Drechterland,-10027.31205
Spectrum Integration,Scenario 2 (100 Mbps),Drechterland,-9665.28675
Hybrid,Scenario 3 (300 Mbps),Drechterland,-31714.64835
Small Cells,Scenario 3 (300 Mbps),Drechterland,-32076.67365
Spectrum Integration,Scenario 3 (300 Mbps),Drechterland,-31714.64835
Hybrid,Scenario 1 (30 Mbps),"Drechterland,Hoorn",-131.75463
Small Cells,Scenario 1 (30 Mbps),"Drechterland,Hoorn",-154.59381
Spectrum Integration,Scenario 1 (30 Mbps),"Drechterland,Hoorn",-131.75463
Hybrid,Scenario 2 (100 Mbps),"Drechterland,Hoorn",-639.28977
Small Cells,Scenario 2 (100 Mbps),"Drechterland,Hoorn",-662.12895
Spectrum Integration,Scenario 2 (100 Mbps),"Drechterland,Hoorn",-639.28977
Hybrid,Scenario 3 (300 Mbps),"Drechterland,Hoorn",-2089.39017
Small Cells,Scenario 3 (300 Mbps),"Drechterland,Hoorn",-2112.22935
Spectrum Integration,Scenario 3 (300 Mbps),"Drechterland,Hoorn",-2089.39017
Hybrid,Scenario 1 (30 Mbps),Drimmelen,63525.27589
Small Cells,Scenario 1 (30 Mbps),Drimmelen,62856.12957
Spectrum Integration,Scenario 1 (30 Mbps),Drimmelen,-2722.969158
Hybrid,Scenario 2 (100 Mbps),Drimmelen,96670.64366
Small Cells,Scenario 2 (100 Mbps),Drimmelen,95665.07413
Spectrum Integration,Scenario 2 (100 Mbps),Drimmelen,-16607.88707
Hybrid,Scenario 3 (300 Mbps),Drimmelen,65530.60395
Small Cells,Scenario 3 (300 Mbps),Drimmelen,64782.33271
Spectrum Integration,Scenario 3 (300 Mbps),Drimmelen,-57240.29027
Hybrid,Scenario 1 (30 Mbps),"Drimmelen,Moerdijk",19.26216
Small Cells,Scenario 1 (30 Mbps),"Drimmelen,Moerdijk",19.26216
Spectrum Integration,Scenario 1 (30 Mbps),"Drimmelen,Moerdijk",19.26216
Hybrid,Scenario 2 (100 Mbps),"Drimmelen,Moerdijk",3625.024472
Small Cells,Scenario 2 (100 Mbps),"Drimmelen,Moerdijk",3598.554626
Spectrum Integration,Scenario 2 (100 Mbps),"Drimmelen,Moerdijk",-75.327954
Hybrid,Scenario 3 (300 Mbps),"Drimmelen,Moerdijk",3279.138872
Small Cells,Scenario 3 (300 Mbps),"Drimmelen,Moerdijk",3252.669026
Spectrum Integration,Scenario 3 (300 Mbps),"Drimmelen,Moerdijk",-421.213554
Hybrid,Scenario 1 (30 Mbps),Dronten,-1061.15484
Small Cells,Scenario 1 (30 Mbps),Dronten,-1881.69924
Spectrum Integration,Scenario 1 (30 Mbps),Dronten,-1061.15484
Hybrid,Scenario 2 (100 Mbps),Dronten,138030.8829
Small Cells,Scenario 2 (100 Mbps),Dronten,136104.582
Spectrum Integration,Scenario 2 (100 Mbps),Dronten,-16548.35559
Hybrid,Scenario 3 (300 Mbps),Dronten,90622.43366
Small Cells,Scenario 3 (300 Mbps),Dronten,88696.13279
Spectrum Integration,Scenario 3 (300 Mbps),Dronten,-63956.80479
Hybrid,Scenario 1 (30 Mbps),Druten,25226.72135
Small Cells,Scenario 1 (30 Mbps),Druten,24844.22096
Spectrum Integration,Scenario 1 (30 Mbps),Druten,-1630.675296
Hybrid,Scenario 2 (100 Mbps),Druten,44081.16085
Small Cells,Scenario 2 (100 Mbps),Druten,43571.11822
Spectrum Integration,Scenario 2 (100 Mbps),Druten,-9732.729312
Hybrid,Scenario 3 (300 Mbps),Druten,32020.9802
Small Cells,Scenario 3 (300 Mbps),Druten,31750.02006
Spectrum Integration,Scenario 3 (300 Mbps),Druten,-33427.92931
Hybrid,Scenario 1 (30 Mbps),Duiven,39079.5795
Small Cells,Scenario 1 (30 Mbps),Duiven,38304.53782
Spectrum Integration,Scenario 1 (30 Mbps),Duiven,-3414.790299
Hybrid,Scenario 2 (100 Mbps),Duiven,25326.30937
Small Cells,Scenario 2 (100 Mbps),Duiven,24806.16267
Spectrum Integration,Scenario 2 (100 Mbps),Duiven,-18041.91274
Hybrid,Scenario 3 (300 Mbps),Duiven,10333.85246
Small Cells,Scenario 3 (300 Mbps),Duiven,10234.94632
Spectrum Integration,Scenario 3 (300 Mbps),Duiven,-59833.69114
Hybrid,Scenario 1 (30 Mbps),Echt-Susteren,67593.7033
Small Cells,Scenario 1 (30 Mbps),Echt-Susteren,66758.76466
Spectrum Integration,Scenario 1 (30 Mbps),Echt-Susteren,-3667.922463
Hybrid,Scenario 2 (100 Mbps),Echt-Susteren,104344.0684
Small Cells,Scenario 2 (100 Mbps),Echt-Susteren,103118.913
Spectrum Integration,Scenario 2 (100 Mbps),Echt-Susteren,-21467.9141
Hybrid,Scenario 3 (300 Mbps),Echt-Susteren,67324.61697
Small Cells,Scenario 3 (300 Mbps),Echt-Susteren,66504.7633
Spectrum Integration,Scenario 3 (300 Mbps),Echt-Susteren,-73439.9381
Hybrid,Scenario 1 (30 Mbps),Edam-Volendam,-3441.523485
Small Cells,Scenario 1 (30 Mbps),Edam-Volendam,-4167.531375
Spectrum Integration,Scenario 1 (30 Mbps),Edam-Volendam,-3441.523485
Hybrid,Scenario 2 (100 Mbps),Edam-Volendam,-17813.31995
Small Cells,Scenario 2 (100 Mbps),Edam-Volendam,-18539.32784
Spectrum Integration,Scenario 2 (100 Mbps),Edam-Volendam,-17813.31995
Hybrid,Scenario 3 (300 Mbps),Edam-Volendam,-58875.59555
Small Cells,Scenario 3 (300 Mbps),Edam-Volendam,-59601.60344
Spectrum Integration,Scenario 3 (300 Mbps),Edam-Volendam,-58875.59555
Hybrid,Scenario 1 (30 Mbps),Ede,122155.1269
Small Cells,Scenario 1 (30 Mbps),Ede,119875.4949
Spectrum Integration,Scenario 1 (30 Mbps),Ede,-6641.010816
Hybrid,Scenario 2 (100 Mbps),Ede,329457.2105
Small Cells,Scenario 2 (100 Mbps),Ede,326789.4485
Spectrum Integration,Scenario 2 (100 Mbps),Ede,-50862.44203
Hybrid,Scenario 3 (300 Mbps),Ede,265553.6485
Small Cells,Scenario 3 (300 Mbps),Ede,263052.1058
Spectrum Integration,Scenario 3 (300 Mbps),Ede,-182174.0092
Hybrid,Scenario 1 (30 Mbps),Eemnes,36926.08362
Small Cells,Scenario 1 (30 Mbps),Eemnes,36701.9438
Spectrum Integration,Scenario 1 (30 Mbps),Eemnes,-674.271675
Hybrid,Scenario 2 (100 Mbps),Eemnes,33424.10262
Small Cells,Scenario 2 (100 Mbps),Eemnes,33199.9628
Spectrum Integration,Scenario 2 (100 Mbps),Eemnes,-4176.252675
Hybrid,Scenario 3 (300 Mbps),Eemnes,23418.44263
Small Cells,Scenario 3 (300 Mbps),Eemnes,23194.30281
Spectrum Integration,Scenario 3 (300 Mbps),Eemnes,-14181.91268
Hybrid,Scenario 1 (30 Mbps),Eemsmond,-322.94526
Small Cells,Scenario 1 (30 Mbps),Eemsmond,-828.04518
Spectrum Integration,Scenario 1 (30 Mbps),Eemsmond,-322.94526
Hybrid,Scenario 2 (100 Mbps),Eemsmond,-5501.96568
Small Cells,Scenario 2 (100 Mbps),Eemsmond,-6007.0656
Spectrum Integration,Scenario 2 (100 Mbps),Eemsmond,-5501.96568
Hybrid,Scenario 3 (300 Mbps),Eemsmond,-20299.16688
Small Cells,Scenario 3 (300 Mbps),Eemsmond,-20804.2668
Spectrum Integration,Scenario 3 (300 Mbps),Eemsmond,-20299.16688
Hybrid,Scenario 1 (30 Mbps),Eersel,41941.47858
Small Cells,Scenario 1 (30 Mbps),Eersel,41584.98953
Spectrum Integration,Scenario 1 (30 Mbps),Eersel,-1030.356045
Hybrid,Scenario 2 (100 Mbps),Eersel,98496.93377
Small Cells,Scenario 2 (100 Mbps),Eersel,97679.35707
Spectrum Integration,Scenario 2 (100 Mbps),Eersel,-8932.652805
Hybrid,Scenario 3 (300 Mbps),Eersel,74601.54977
Small Cells,Scenario 3 (300 Mbps),Eersel,73783.97308
Spectrum Integration,Scenario 3 (300 Mbps),Eersel,-32828.03681
Hybrid,Scenario 1 (30 Mbps),"Eersel,Eindhoven",75.18456
Small Cells,Scenario 1 (30 Mbps),"Eersel,Eindhoven",75.18456
Spectrum Integration,Scenario 1 (30 Mbps),"Eersel,Eindhoven",75.18456
Hybrid,Scenario 2 (100 Mbps),"Eersel,Eindhoven",14149.28907
Small Cells,Scenario 2 (100 Mbps),"Eersel,Eindhoven",14045.97128
Spectrum Integration,Scenario 2 (100 Mbps),"Eersel,Eindhoven",-294.022014
Hybrid,Scenario 3 (300 Mbps),"Eersel,Eindhoven",12799.21947
Small Cells,Scenario 3 (300 Mbps),"Eersel,Eindhoven",12695.90168
Spectrum Integration,Scenario 3 (300 Mbps),"Eersel,Eindhoven",-1644.091614
Hybrid,Scenario 1 (30 Mbps),Eijsden-Margraten,56616.87025
Small Cells,Scenario 1 (30 Mbps),Eijsden-Margraten,56097.86204
Spectrum Integration,Scenario 1 (30 Mbps),Eijsden-Margraten,-1872.571323
Hybrid,Scenario 2 (100 Mbps),Eijsden-Margraten,82355.95757
Small Cells,Scenario 2 (100 Mbps),Eijsden-Margraten,81579.93568
Spectrum Integration,Scenario 2 (100 Mbps),Eijsden-Margraten,-12062.71242
Hybrid,Scenario 3 (300 Mbps),Eijsden-Margraten,52506.94397
Small Cells,Scenario 3 (300 Mbps),Eijsden-Margraten,51730.92208
Spectrum Integration,Scenario 3 (300 Mbps),Eijsden-Margraten,-41911.72602
Hybrid,Scenario 1 (30 Mbps),Eindhoven,64376.76251
Small Cells,Scenario 1 (30 Mbps),Eindhoven,58943.6243
Spectrum Integration,Scenario 1 (30 Mbps),Eindhoven,-19418.31502
Hybrid,Scenario 2 (100 Mbps),Eindhoven,24275.69847
Small Cells,Scenario 2 (100 Mbps),Eindhoven,23750.57088
Spectrum Integration,Scenario 2 (100 Mbps),Eindhoven,-112293.8573
Hybrid,Scenario 3 (300 Mbps),Eindhoven,10346.08483
Small Cells,Scenario 3 (300 Mbps),Eindhoven,10251.3057
Spectrum Integration,Scenario 3 (300 Mbps),Eindhoven,-377755.0133
Hybrid,Scenario 1 (30 Mbps),Elburg,40780.31203
Small Cells,Scenario 1 (30 Mbps),Elburg,40349.39433
Spectrum Integration,Scenario 1 (30 Mbps),Elburg,-1833.423972
Hybrid,Scenario 2 (100 Mbps),Elburg,57375.4838
Small Cells,Scenario 2 (100 Mbps),Elburg,56761.83877
Spectrum Integration,Scenario 2 (100 Mbps),Elburg,-10782.62057
Hybrid,Scenario 3 (300 Mbps),Elburg,40776.63609
Small Cells,Scenario 3 (300 Mbps),Elburg,40420.28935
Spectrum Integration,Scenario 3 (300 Mbps),Elburg,-36873.83177
Hybrid,Scenario 1 (30 Mbps),Emmen,-10924.33188
Small Cells,Scenario 1 (30 Mbps),Emmen,-13778.88228
Spectrum Integration,Scenario 1 (30 Mbps),Emmen,-10924.33188
Hybrid,Scenario 2 (100 Mbps),Emmen,-61373.18376
Small Cells,Scenario 2 (100 Mbps),Emmen,-64227.73416
Spectrum Integration,Scenario 2 (100 Mbps),Emmen,-61373.18376
Hybrid,Scenario 3 (300 Mbps),Emmen,-205512.7606
Small Cells,Scenario 3 (300 Mbps),Emmen,-208367.311
Spectrum Integration,Scenario 3 (300 Mbps),Emmen,-205512.7606
Hybrid,Scenario 1 (30 Mbps),Enkhuizen,-1945.7064
Small Cells,Scenario 1 (30 Mbps),Enkhuizen,-2165.62896
Spectrum Integration,Scenario 1 (30 Mbps),Enkhuizen,-1945.7064
Hybrid,Scenario 2 (100 Mbps),Enkhuizen,-8412.56064
Small Cells,Scenario 2 (100 Mbps),Enkhuizen,-8632.4832
Spectrum Integration,Scenario 2 (100 Mbps),Enkhuizen,-8412.56064
Hybrid,Scenario 3 (300 Mbps),Enkhuizen,-26889.28704
Small Cells,Scenario 3 (300 Mbps),Enkhuizen,-27109.2096
Spectrum Integration,Scenario 3 (300 Mbps),Enkhuizen,-26889.28704
Hybrid,Scenario 1 (30 Mbps),Enschede,89756.36317
Small Cells,Scenario 1 (30 Mbps),Enschede,86545.95349
Spectrum Integration,Scenario 1 (30 Mbps),Enschede,-11704.91304
Hybrid,Scenario 2 (100 Mbps),Enschede,117590.0505
Small Cells,Scenario 2 (100 Mbps),Enschede,116070.7383
Spectrum Integration,Scenario 2 (100 Mbps),Enschede,-69198.74228
Hybrid,Scenario 3 (300 Mbps),Enschede,74494.83017
Small Cells,Scenario 3 (300 Mbps),Enschede,73585.74751
Spectrum Integration,Scenario 3 (300 Mbps),Enschede,-234896.4415
Hybrid,Scenario 1 (30 Mbps),"Enschede,Losser",10895.78705
Small Cells,Scenario 1 (30 Mbps),"Enschede,Losser",10787.63069
Spectrum Integration,Scenario 1 (30 Mbps),"Enschede,Losser",-444.00264
Hybrid,Scenario 2 (100 Mbps),"Enschede,Losser",8929.116055
Small Cells,Scenario 2 (100 Mbps),"Enschede,Losser",8820.959695
